Name of your department or Course,cgpa,non_stem_count,year,Adjusting my learning style for non-STEM courses is more challenging than for STEM courses. (Switching Cost),Switching focus from STEM to non-STEM subjects is mentally exhausting. (Switching Cost),"Non-STEM courses improve my soft skills, such as communication and critical thinking. (Switching Benefit)",Studying non-STEM subjects broadens my overall perspective on learning.,Non-STEM courses significantly increase my academic workload. (Work Overload),Managing both STEM and non-STEM courses is challenging. (Work Overload),I am unsure how non-STEM courses contribute to my academic goals. (Role Ambiguity),I struggle to see the practical application of non-STEM subjects compared to STEM subjects. (Role Ambiguity),Balancing non-STEM and STEM coursework leaves me with less time for personal activities. (Work–Home Conflict),I feel that non-STEM courses are a waste of my time compared to STEM courses. (General Grumbling),"Courses in the humanities (e.g., literature, philosophy) are unnecessary for STEM students.","Social science courses (e.g., sociology, psychology) seem less relevant to my field than STEM subjects.""",I believe non-STEM courses are valuable despite their challenges. (Willingness),I am open to integrating lessons from non-STEM courses into my academic work.  (Willingness),I will likely apply the knowledge I gain from non-STEM courses in my personal or professional life. (Long-Term Adoption),Which non-STEM courses have been most beneficial to you and why?,What challenges have you faced balancing STEM and non-STEM coursework?,Your perspective on STEM versus non-STEM courses. ,gender,cgpa_numeric,year_numeric,non_stem_count_numeric,gender_encoded
CSE (STEM),3.75-4.00,7,4th year,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,"The Art of Living course was most beneficial to me because it improved my stress management, self-awareness, and communication skills, which support both my personal well-being and professional growth.","STEM needs heavy practice and problem-solving, while non-STEM requires more reading and reflection, so balancing both can be tough.","STEM builds technical skills, and non-STEM develops creativity and communication—together they make learning more balanced.",Female,3.875,4.0,7.0,Female
CSE (STEM),3.75-4.00,7,4th,Strongly disagree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Disagree,Disagree,Agree,Neutral,Neutral,Agree,English.Becuses ielts module related exam,STEM Course  not focused,Improve my non technical site,Female,3.875,4.0,7.0,Female
CSE (STEM),3.25-3.50,7,4th,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,"Art of living
It enriched my ethical values.",The main challenge for me was time management.,"STEM builds technical knowledge, while non-STEM develops soft skills and creativity.",Male,3.375,4.0,7.0,Male
CSE (STEM),2.5-3.00,7,4,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Null,0,-,Male,2.75,4.0,7.0,Male
CSE (STEM),3.75-4.00,7,4th Year,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,,Several,Useless,Male,3.875,4.0,7.0,Male
CSE (STEM),2.5-3.00,7,Forth year,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Strongly disagree,Disagree,Neutral,Art of Living,Team imbalance,,Male,2.75,,7.0,Male
CSE (STEM),3.50-3.75,7,4th year,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Accounting,Time consuming,...,Male,3.625,4.0,7.0,Male
CSE (STEM),3.00-3.25,7,4th,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Best.. Many things,Ok,Ok,Female,3.125,4.0,7.0,Female
CSE (STEM),3.00-3.25,7,4th,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Accountings,Time consuming,...,Male,3.125,4.0,7.0,Male
CSE (STEM),2.5-3.00,7,3,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Critical Skill,Time management,"Strength: They emphasize critical thinking, communication, creativity, and cultural understanding.",Male,2.75,3.0,7.0,Male
CSE (STEM),3.00-3.25,7,4th,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Art of living,Work load,Non-STEM are important and Non-STEM are not that important to my career goal but in life lesson.,Male,3.125,4.0,7.0,Male
CSE (STEM),3.25-3.50,7,4th,Strongly disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Art of Living because i learned about somthing about manner and etiquettes which i did not know about,Less personal time,Neutral,Male,3.375,4.0,7.0,Male
CSE (STEM),3.00-3.25,7,4,Neutral,Agree,Disagree,Disagree,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,"Economics,  because it helped me to know about the business world.  How it works everything.",CG kom asce ☹️,STEM courses are helpful for the filed i wanna study.  But non stem is not helping fully.  Just killing time mostly.,Female,3.125,4.0,7.0,Female
CSE (STEM),3.75-4.00,7,8,Neutral,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Accounting,Understanding the structure of the courses and their implementation,No idea,Male,3.875,8.0,7.0,Male
CSE (STEM),3.00-3.25,7,4th year,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Art of living,No challenges. I enjoyed both.,Very useful,Female,3.125,4.0,7.0,Female
CSE (STEM),3.25-3.50,7,4th,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Accounting,No,Neutral,Male,3.375,4.0,7.0,Male
CSE (STEM),2.5-3.00,8,4th,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Art of living,Time Management and Workload,"big challenge was simply managing my time. My STEM classes had a constant, daily grind—a new problem set every week, a lab report due, and frequent quizzes.
My non-STEM classes, on the other hand, had fewer assignments, but they were much larger and more critical.",Male,2.75,4.0,8.0,Male
CSE (STEM),3.75-4.00,7,4th,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,"English, Accounting, Economics",Time management,Non-stem helps to critical thinking but increase overload,Male,3.875,4.0,7.0,Male
CSE (STEM),2.5-3.00,7,4th,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Art of living for improve atiqute,Time management,Stem more important for developed skilled and non stem improve knowledge,Male,2.75,4.0,7.0,Male
CSE (STEM),3.25-3.50,7,4th,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Economics,Personal time,Some of the courses are irrelevant,Male,3.375,4.0,7.0,Male
CSE (STEM),3.00-3.25,7,2025,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Neutral,Discrete Math...Coz it is easier than others,Cgpa fact,Goods,Male,3.125,2025.0,7.0,Male
CSE (STEM),3.25-3.50,7,4,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Accounting.,CG kom ase 😑,STEM courses are helpful for the filed i wanna study.  But non stem is not helping fully.  Just killing time mostly.,Male,3.375,4.0,7.0,Male
CSE (STEM),3.50-3.75,7,4th,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Art of living,No challenges.. Enjoyed both,Very useful,Female,3.625,4.0,7.0,Female
CSE (STEM),3.25-3.50,7,L4T1,Agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Ged,No idea,No ieda,Male,3.375,4.0,7.0,Male
CSE (STEM),2.5-3.00,7,4,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Strongly disagree,Accounting,No idea,No idea,Male,2.75,4.0,7.0,Male
CSE (STEM),2.5-3.00,7,4th,Neutral,Disagree,Strongly disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No idea,No idea,No idea,Male,2.75,4.0,7.0,Male
CSE (STEM),3.25-3.50,7,4th year,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,"Economics
Accounting","The biggest challenges are time management (STEM courses often demand heavy problem sets and labs, while non-STEM classes require lots of reading and writing), switching mindsets (analytical vs. interpretive/creative thinking), and prioritization (balancing grades in rigorous STEM with the desire to explore non-STEM interests).","technical skills, while non-STEM courses build creativity, communication, and an understanding of people and society. Both complement each other — STEM drives innovation, and non-STEM ensures that innovation is meaningful, ethical, and accessible",Female,3.375,4.0,7.0,Female
CSE (STEM),3.50-3.75,7,24,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,'M,M,M,Male,3.625,24.0,7.0,Male
CSE (STEM),2.5-3.00,7,3rd,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"No,cuz it have no values and also hard to remember thats all it have no effect on us",Workload huge,Nop,Male,2.75,3.0,7.0,Male
CSE (STEM),2.5-3.00,7,3rd,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Y,no,no,Male,2.75,3.0,7.0,Male
CSE (STEM),3.00-3.25,7,3rd,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Neutral,Strongly disagree,Strongly agree,Disagree,Agree,Neutral,Disagree,Hm,Hm,No,Female,3.125,3.0,7.0,Female
CSE (STEM),3.25-3.50,6,3rd,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Arts of living,Many challenges,Nothing much.,Female,3.375,3.0,6.0,Female
CSE (STEM),3.00-3.25,5,3rd (L3T3),Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Non-STEM courses like psychology and philosophy helped me understand people and think differently.,It's hard to manage time between intense STEM classes and reading-heavy non-STEM courses.,"STEM teaches problem-solving, but non-STEM helps with creativity and communication.",Male,3.125,3.0,5.0,Male
CSE (STEM),3.25-3.50,7,3rd,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Strongly agree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Accounting,Time Consuming,STEM course comparatively Easy Than non-STEM course,Male,3.375,3.0,7.0,Male
CSE (STEM),2.5-3.00,76,L3T3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,English,By Sleeping,,Male,2.75,3.0,76.0,Male
CSE (STEM),2.5-3.00,6,3rd,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Art of Living. Cause it is real life related,Mark adjustment,"STEM courses focus on science, technology, engineering, and math to build logical and technical skills, while non-STEM courses develop creativity, communication, and critical thinking in other fields.",Male,2.75,3.0,6.0,Male
CSE (STEM),3.00-3.25,6,3,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,BNS,Time management,Null,Male,3.125,3.0,6.0,Male
CSE (STEM),3.25-3.50,6,3rd,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Accounting, Learn about accounting which helps to do business",Difficult to manage both courses as they are completely different .,"Stem courses are compulsory and beneficial to us .
But non stem courses are waste of time (in my opinion)",Female,3.375,3.0,6.0,Female
CSE (STEM),3.00-3.25,6,3rd,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,10000,No,Yes,Male,3.125,3.0,6.0,Male
CSE (STEM),3.50-3.75,6,3rd,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Disagree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Art of living,Noth that much,Important vs less important,Male,3.625,3.0,6.0,Male
CSE (STEM),3.50-3.75,6,L3T3,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Accounting,Mostly theory an CG killer,Non-stem is waste of money and time,Male,3.625,3.0,6.0,Male
CSE (STEM),3.75-4.00,6,3rd Year,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Arts of living because i learn about ethics,manner.",I faced no challenges,All course are equally important,Female,3.875,3.0,6.0,Female
CSE (STEM),3.50-3.75,6,3rd,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Financial and Managerial Accounting,Time management,Maybe It's depends on the course outcome,Female,3.625,3.0,6.0,Female
CSE (STEM),3.75-4.00,6,3 rd year,Agree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Financial And Managerial Accounting,Time Management,I think some Non STEM courses has benefits but some of them has a little bit benefits.,Male,3.875,3.0,6.0,Male
CSE (STEM),2.5-3.00,6,3rd,Agree,Agree,Neutral,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree,"I think English is the most beneficial. Because almost 80% students have completed their HSC in Bangla Medium. But in university, we have to complete our degree in English medium. That's why it's the most important.","In non-stem coursework, sometimes we face extra pressure.",We should take the non-stem courses lightly compered to stem courses.,Male,2.75,3.0,6.0,Male
CSE (STEM),3.00-3.25,6,3rd year,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,"Courses like English Literature and Communication Skills have been most beneficial to me because they improved my ability to express ideas clearly, both in writing and speaking.",Balancing STEM and non-STEM coursework can be challenging due to differences in learning styles and workload.,"STEM courses provide technical knowledge and problem-solving skills that are essential for my field, while non-STEM courses develop critical thinking, communication, and interpersonal skills.",Male,3.125,3.0,6.0,Male
CSE (STEM),3.25-3.50,6,3rd year,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Art of living. This course teach me how to behave good and ethics.,Something I can not manage time to study both.,"STEM builds problem-solving and technical skills, while non-STEM develops creativity, communication, and critical thinking. A balance of both creates well-rounded, adaptable individuals.",Male,3.375,3.0,6.0,Male
CSE (STEM),3.50-3.75,6,L3T3 ( 3rd year final sem ),Disagree,Neutral,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Neutral,Agree,"BNS, Art of Living",Different topic & course outline.,"STEM advances technology, non-STEM advances humanity. Both are necessary.",Male,3.625,3.0,6.0,Male
CSE (STEM),3.00-3.25,6,3rd,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Accounting,Time management,No comments,Female,3.125,3.0,6.0,Female
CSE (STEM),2.5-3.00,6,3rd,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,It was Art of leaving Course which was beneficial i can say .Because it helps to build our own mindset through ethics and also it help us to gain professionals mindset.,More pressurel and efforts need to completing syllabus,"Maybe its helpful for gain   out knowlegde   
which is important   beside  STEM course .",Female,2.75,3.0,6.0,Female
CSE (STEM),3.75-4.00,6,3rd year.,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Agree,Disagree,Agree,Agree,Agree,"Statistics and probability and engineering mathematics , because it helps with my main carrier focus of AI and deep learning.","The theoretical aspects of the non-STEM courses are bit lengthy and hard to remember for long term. Also, hampers the technical type learning of STEM course.","Normally, we only just learn STEM and NON-STEM course separately. But  if the NON- STEM course themselves included some STEM portions, and the use of them, then it will benefit us tremendously. Although, this normally happenes at the time of STEM courses , but by that time we forget most of the theory of the NON-STEM course, hence can't relate them correctly.",Male,3.875,3.0,6.0,Male
CSE (STEM),3.50-3.75,6,3rd,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,English. Because of language,Null,Null,Female,3.625,3.0,6.0,Female
CSE (STEM),Less than 2.5,6,3rd,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Agree,"English - I, II",I had to think differently in non STEM courses. Which made me overthink but I managed it somehow,STEM courses are more important than NON-STEM courses,Male,2.25,3.0,6.0,Male
CSE (STEM),3.50-3.75,6,Third Year level 3,Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly disagree,Neutral,Neutral,Agree,Neutral,Agree,"The non-STEM course Art of Living has been most beneficial to me because it helped me develop stress management, emotional resilience, and communication skills that complement the problem-solving focus of STEM studies.",No,"STEM courses sharpen analytical and technical skills, while non-STEM courses broaden creativity, critical thinking, and personal growth, making both equally valuable.",Female,3.625,3.0,6.0,Female
CSE (STEM),3.25-3.50,6,3rd,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree,Disagree,Art of living. Learned ethics and behavior,Couldn't give time for skill gain,Non STEM are unnecessary,Male,3.375,3.0,6.0,Male
CSE (STEM),3.00-3.25,6,3rd year,Disagree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Art of living,Theocratically courses carry less mark but heavy task.,STEM course help me imagine and visualize my ability and skill.,Male,3.125,3.0,6.0,Male
CSE (STEM),3.75-4.00,6,3rd year( L3 T3),Strongly disagree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,AOL,Time management I guess!,"Both are important for a balanced society.
STEM focuses on how things work.
Non-STEM focuses on why things matter.",Male,3.875,3.0,6.0,Male
CSE (STEM),3.25-3.50,6,3,Disagree,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Disagree,ART of Living,nothing,STEM is good,Female,3.375,3.0,6.0,Female
CSE (STEM),2.5-3.00,6,3,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,"Complementary Nature: STEM and non-STEM courses are not mutually exclusive but can be highly complementary. Non-STEM skills like communication, critical thinking, and ethical reasoning enhance a STEM professional's ability to innovate, collaborate, and communicate their work effectively.
Holistic Education: A well-rounded education includes both types of courses, providing a broader understanding of the world and equipping individuals with diverse skill sets applicable in various contexts.
Career Relevance: While STEM courses provide technical expertise, non-STEM courses can offer valuable soft skills that are increasingly sought after in the professional world, regardless of the field","Time Management: Allocating sufficient time for demanding STEM courses while also dedicating effort to non-STEM assignments and readings.
Mental Shift: Transitioning between the analytical, problem-solving mindset required for STEM and the more interpretive, critical thinking approach often found in non-STEM subjects.
Prioritization: Deciding which courses to prioritize when deadlines for both types of coursework coincide.","Complementary Nature: STEM and non-STEM courses are not mutually exclusive but can be highly complementary. Non-STEM skills like communication, critical thinking, and ethical reasoning enhance a STEM professional's ability to innovate, collaborate, and communicate their work effectively.
Holistic Education: A well-rounded education includes both types of courses, providing a broader understanding of the world and equipping individuals with diverse skill sets applicable in various contexts.
Career Relevance: While STEM courses provide technical expertise, non-STEM courses can offer valuable soft skills that are increasingly sought after in the professional world, regardless of the field",Male,2.75,3.0,6.0,Male
CSE (STEM),2.5-3.00,6,3rd,Agree,Neutral,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,English,Extra pressure,I strongly believe that i will learn the relevant things. Non stem course are extra pressure.,Male,2.75,3.0,6.0,Male
CSE (STEM),3.50-3.75,6,3rd,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Neutral,Agree,Accounting,Time management,"STEM builds logic and problem-solving, while non-STEM develops creativity and communication. Together, they make learning balanced and complete.",Male,3.625,3.0,6.0,Male
CSE (STEM),3.00-3.25,6,3rd,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,art of living,statistics,nothing,Male,3.125,3.0,6.0,Male
CSE (STEM),2.5-3.00,6,3rd,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Art of living because in it we have done a social work which helps me to easily interact with different types of persons,Time management,If we want then we can do something better with bothes,Female,2.75,3.0,6.0,Female
CSE (STEM),3.25-3.50,6,Third,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Strongly agree,Accounting,Over pressure,essential,Male,3.375,,6.0,Male
CSE (STEM),3.50-3.75,6,3rd year,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Art of Living,Nothing,Both are crucial,Male,3.625,3.0,6.0,Male
CSE (STEM),3.25-3.50,5,3rd,Neutral,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,"Among my non-STEM courses, Art of Living has been the most beneficial because it helped me improve my communication skills, teamwork, and stress management. These soft skills are essential not only for academic success but also for personal and professional growth. Bangladesh Studies was also very impactful, as it gave me a deeper understanding of my country's history, culture, and independence, which strengthened my sense of identity and responsibility.","The main challenge I faced was balancing the different styles of study required. STEM courses are more problem-solving and technical, while non-STEM courses often require critical thinking, memorization, and essay writing. Switching between these learning approaches was sometimes difficult and time-consuming. Managing deadlines for both types of coursework was also challenging, as STEM tasks usually needed practical work and non-STEM required extensive reading and writing.","I believe both STEM and non-STEM courses complement each other. STEM courses develop logical reasoning, problem-solving, and technical expertise, while non-STEM courses build creativity, communication, cultural awareness, and critical thinking. Together, they create a more well-rounded education. Instead of seeing them as separate, I see them as equally important in shaping both academic knowledge and life skills.",Male,3.375,3.0,5.0,Male
CSE (STEM),3.75-4.00,4,2025,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Neutral,Agree,Arts of Living,Practical application,So so,Male,3.875,2025.0,4.0,Male
CSE (STEM),3.50-3.75,"English, art of living, Bangladesh studies",3rd,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,English,"Time, efforts both is hard to balance",STEM is better than non-STEM,Female,3.625,3.0,,Female
CSE (STEM),2.5-3.00,4,6th Semester,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,I have  completed 4 NON -STEM courses amoung them  Art of living & Bangladesh Studies was best. On Art of living I learn how to intereact & in Bangladesh Studies I learned about my country and some resourses.,I did not faced any challange to balance .,Non-STEM courses are also need on academic life.,Male,2.75,6.0,4.0,Male
CSE (STEM),2.5-3.00,4,3rd,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Art of living,Time balance in academic pressure,Neutral,Male,2.75,3.0,4.0,Male
CSE (STEM),2.5-3.00,2,3rd,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,"Art of Living 
It is a creative course where the teacher guides us on how to live with good manners and behave like mature individuals in every situation. The course was also really fun to do.","The problem is that STEM courses can be applied to real life and are easier to learn, while non-STEM courses are mostly theoretical.","STEM courses sharpen logical, technical, and problem-solving skills for innovation and industry.
Non-STEM courses build creativity, critical thinking, and cultural understanding that shape society.",Male,2.75,3.0,2.0,Male
CSE (STEM),3.00-3.25,Five,4th,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Eng101,Issues with managing courseworks,They definitely should be taught but with the right curriculum followed.,Male,3.125,4.0,,Male
CSE (STEM),2.5-3.00,6,3rd,Neutral,Strongly agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly agree,"Art of leaving, Art of leaving course helped reduce stress, improve focus, and boost inner peace through breathing techniques",Time Management,Both are equally valuable.,Male,2.75,3.0,6.0,Male
CSE (STEM),3.00-3.25,15+,Third year third semester,Neutral,Agree,Strongly agree,Neutral,Neutral,Disagree,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Mathematics,Academic pressure and stress,"STEM Courses
Focus: Emphasizes mathematical and analytical skills to solve structured problems. 
Non-STEM Courses
Focus: Develops skills in communication, creativity, critical thinking, and people management.",Male,3.125,,15.0,Male
CSE (STEM),3.25-3.50,7,4th,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,"Writing lab reports, research papers, and project documentation is a huge part of STEM. These courses improve clarity, structure, and persuasive writing, which helps in both academic and professional settings.","STEM courses often rely on problem-solving, formulas, and step-by-step logic.

Non-STEM courses may require critical reading, essays, and abstract thinking.
Switching between the two can feel mentally tiring.","STEM courses are usually very structured, logic-driven, and centered on problem-solving. They build technical knowledge and analytical skills that are essential for engineering, medicine, computer science, and other scientific fields. I value STEM because it teaches precision, discipline, and the ability to apply theories to real-world problems.

On the other hand, non-STEM courses focus more on creativity, interpretation, and human expression. They encourage critical thinking, communication, and awareness of society, culture, and ethics. These skills are equally important because technical solutions often fail if they ignore human needs, cultural contexts, or ethical considerations.",Male,3.375,4.0,7.0,Male
